userId,movieId,rating,timestamp
1,31,2.5,1260759144.0
1,1029,3.0,1260759179.0
1,1061,3.0,1260759182.0
1,1129,2.0,1260759185.0
1,1172,4.0,1260759205.0
1,1263,2.0,1260759151.0
1,1287,2.0,1260759187.0
1,1293,2.0,1260759148.0
1,1339,3.5,1260759125.0
1,1343,2.0,1260759131.0
1,1371,2.5,1260759135.0
1,1405,1.0,1260759203.0
1,1953,4.0,1260759191.0
1,2105,4.0,1260759139.0
1,2150,3.0,1260759194.0
1,2193,2.0,1260759198.0
1,2294,2.0,1260759108.0
1,2455,2.5,1260759113.0
1,2968,1.0,1260759200.0
1,3671,3.0,1260759117.0
2,10,4.0,835355493.0
2,17,5.0,835355681.0
2,39,5.0,835355604.0
2,47,4.0,835355552.0
2,50,4.0,835355586.0
2,52,3.0,835356031.0
2,62,3.0,835355749.0
2,110,4.0,835355532.0
2,144,3.0,835356016.0
2,150,5.0,835355395.0
2,153,4.0,835355441.0
2,161,3.0,835355493.0
2,165,3.0,835355441.0
2,168,3.0,835355710.0
2,185,3.0,835355511.0
2,186,3.0,835355664.0
2,208,3.0,835355511.0
2,222,5.0,835355840.0
2,223,1.0,835355749.0
2,225,3.0,835355552.0
2,235,3.0,835355664.0
2,248,3.0,835355896.0
2,253,4.0,835355511.0
2,261,4.0,835355681.0
2,265,5.0,835355697.0
2,266,5.0,835355586.0
2,272,3.0,835355767.0
2,273,4.0,835355779.0
2,292,3.0,835355492.0
2,296,4.0,835355395.0
2,300,3.0,835355532.0
2,314,4.0,835356044.0
2,317,2.0,835355551.0
2,319,1.0,835355918.0
2,339,3.0,835355492.0
2,349,4.0,835355441.0
2,350,4.0,835355697.0
2,356,3.0,835355628.0
2,357,3.0,835355749.0
2,364,3.0,835355604.0
2,367,3.0,835355619.0
2,370,2.0,835355932.0
2,371,3.0,835355968.0
2,372,3.0,835356094.0
2,377,3.0,835355710.0
2,382,3.0,835356165.0
2,405,2.0,835356246.0
2,410,3.0,835355532.0
2,454,4.0,835355604.0
2,457,3.0,835355511.0
2,468,4.0,835355790.0
2,474,2.0,835355828.0
2,480,4.0,835355643.0
2,485,3.0,835355918.0
2,497,3.0,835355880.0
2,500,4.0,835355731.0
2,508,4.0,835355860.0
2,509,4.0,835355719.0
2,515,4.0,835355817.0
2,527,4.0,835355731.0
2,537,4.0,835356199.0
2,539,3.0,835355767.0
2,550,3.0,835356109.0
2,551,5.0,835355767.0
2,552,3.0,835355860.0
2,585,5.0,835355817.0
2,586,3.0,835355790.0
2,587,3.0,835355779.0
2,588,3.0,835355441.0
2,589,5.0,835355697.0
2,590,5.0,835355395.0
2,592,5.0,835355395.0
2,593,3.0,835355511.0
2,616,3.0,835355932.0
2,661,4.0,835356141.0
2,720,4.0,835355978.0
3,60,3.0,1298861675.0
3,110,4.0,1298922049.0
3,247,3.5,1298861637.0
3,267,3.0,1298861761.0
3,296,4.5,1298862418.0
